step,rain_prob,yes_bid,yes_ask,no_bid,no_ask,yes_edge,no_edge,sum_arb,cash,equity,unrealized_pnl,realized_proxy
1,0.5501376085008357,0.5003671815670309,0.5103671815670309,0.4918685976217717,0.5018685976217717,0.03977042693380484,-0.052006206122607423,False,1000.0,1000.0,0.0,0.0
2,0.5453957678588662,0.495945143252858,0.505945143252858,0.4948217830962172,0.5048217830962172,0.03945062460600823,-0.0502175509550834,False,1000.0,1000.0,0.0,0.0
3,0.5286517599427278,0.4728322576966094,0.4828322576966094,0.5240425846479904,0.5340425846479904,0.045819502246118415,-0.06269434459071821,False,1000.0,1000.0,0.0,0.0
4,0.5389350279965988,0.47597593863879006,0.4859759386387901,0.5096161141307384,0.5196161141307384,0.052959089357808686,-0.05855114212733714,False,1000.492803509839,1000.492803509839,0.0,0.49280350983895005
5,0.5203963641001084,0.49025381122944806,0.500253811229448,0.5064795562997348,0.5164795562997349,0.020142552870660357,-0.03687592039984322,False,1000.492803509839,1000.492803509839,0.0,0.49280350983895005
6,0.511401883632973,0.4929789976260054,0.5029789976260054,0.49912793412610634,0.5091279341261064,0.008422886006967611,-0.02052981775907936,False,1000.492803509839,1000.492803509839,0.0,0.49280350983895005
7,0.5143000445171498,0.49161674071200306,0.501616740712003,0.49951509655193127,0.5095150965519313,0.012683303805146817,-0.023815141069081114,False,1000.492803509839,1000.492803509839,0.0,0.49280350983895005
8,0.5202674770478936,0.49083047072077224,0.5008304707207722,0.4923247363392695,0.5023247363392694,0.01943700632712131,-0.022592213387162996,False,1000.492803509839,1000.492803509839,0.0,0.49280350983895005
9,0.5453161705403156,0.4774162115929824,0.48741621159298243,0.5200341916134776,0.5300341916134776,0.05789995894733313,-0.0753503621537932,False,1001.1651631102488,1001.1651631102488,0.0,1.165163110248841
10,0.5434415243452284,0.48373610926059496,0.49373610926059497,0.5010148033646302,0.5110148033646302,0.04970541508463344,-0.05445632770985864,False,1001.1651631102488,1001.1651631102488,0.0,1.165163110248841
